"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Checkout and Payment","1","0","Payment with missing required fields","0"
"0","","0","User Login","1","0","Failed login - empty field","0"
"0","","0","Product Management","1","0","View product details","0"
"0","","0","Complete Purchase Flow","1","0","User completes full purchase journey","0"
"0","","0","Product Management","2","0","Add product to cart","0"
"0","","0","Product Management","1","0","Remove product from cart","0"
"0","","0","User Signup","1","0","Failed registration - empty field","0"
"0","","0","User Signup","1","0","Successful registration","0"
"0","","0","User Login","1","0","Successful login","0"
"0","","0","User Logout","1","0","Logout button not visible when user is not logged in","0"
"0","","0","Checkout and Payment","1","0","Successful payment","0"
"0","","0","User Logout","1","0","Successful logout","0"
"0","","0","Product Management","1","0","View products by category","0"
"0","","0","User Signup","1","0","Failed registration - duplicate username","0"
"0","","0","User Login","1","0","Failed login - wrong password","0"
